oraciones,puntaje_positivo,puntaje_negativo,puntaje_sentimiento
i loovvee my kindle not that the dx is cool but the is fantastic in its own right,1.0,0.0,8.333333333333334
reading my kindle love it lee childs is good read,1.0,0.0,8.333333333333334
ok first assesment of the kindle it fucking rocks,1.0,0.0,8.333333333333334
you ll love your kindle i ve had mine for a few months and never looked back the new big one is huge no need for remorse,0.8379157161724097,0.1620842838275903,5.7933138471790935
fair enough but i have the kindle and i think itis perfect,1.0,0.0,8.333333333333334
no it is too big i m quite happy with the kindle,0.8189463847681345,0.1810536152318654,5.598319147839652
fuck this economy i hate aig and their non loan given asses,0.0,1.0,1.6666666666666663
jquery is my new best friend,1.0,0.0,8.333333333333334
loves twitter,1.0,0.0,8.333333333333334
how can you not love obama he makes jokes about himself,0.1968559694094321,0.8031440305905679,4.101079615954222
i firmly believe that obama pelosi have zero desire to be civil itis a charade and a slogan but they want to destroy conservatism,0.1505452821242295,0.8494547178757705,3.75888324363049
house correspondents dinner was last night whoopi barbara amp sherri went obama got a standing ovation,0.0,0.0,8.333333333333334
watchin espn jus seen this new nike commerical with a puppet lebron sh t was hilarious laughing my ass off,0.8027586206896552,0.1972413793103448,5.440907680084364
dear nike stop with the flywire that shit is a waste of science and ugly love,0.1884760366182014,0.8115239633817986,4.044189728119154
lebron best athlete of our generation if not all time basketball related i don t want to get into inter sport debates about,1.0,0.0,8.333333333333334
i was talking to this guy last night and he was telling me that he is a die hard spurs fan he also told me that he hates lebron james,0.0660358762073723,0.9339641237926276,2.864267546989057
i love lebron,1.0,0.0,8.333333333333334
lebron is a beast but i m still cheering the a til the end,1.0,0.0,8.333333333333334
lebron is the boss,0.0,0.0,8.333333333333334
lebron is a hometown hero to me laughing out loud i love the lakers but letis go cavs laughing out loud,1.0,0.0,8.333333333333334
lebron and zydrunas are such an awesome duo,1.0,0.0,8.333333333333334
lebron is a beast nobody in the nba comes even close,0.0,0.0,8.333333333333334
downloading apps for my iphone so much fun there literally is an app for just about anything,1.0,0.0,8.333333333333334
good news just had a call from the visa office saying everything is fine what a relief i am sick of scams out there stealing,0.195754306594745,0.8042456934052549,4.093706910892108
awesome come back from via,1.0,0.0,8.333333333333334
in montreal for a long weekend of r amp r much needed,0.0,0.0,8.333333333333334
booz allen hamilton has a bad ass homegrown social collaboration platform way cool ttiv,1.0,0.0,8.333333333333334
mluc customer innovation award winner booz allen hamilton,1.0,0.0,8.333333333333334
i current use the nikon d and love it but not as much as the canon d d i chose the d for the video feature my mistake,0.2885714285714286,0.7114285714285715,4.573946462017756
google is always a good place to look should ve mentioned i worked on the mustang w my dad,1.0,0.0,8.333333333333334
played with an android google phone the slide out screen scares me i would break that fucker so fast still prefer my iphone,0.0874845615479621,0.912515438452038,3.133908397873162
us planning to resume the military tribunals at guantanamo bay only this time those on trial will be aig execs and chrysler debt holders,0.0,1.0,1.6666666666666663
oh my god so bored amp my tattoos are so itchy help aha,0.403852127990059,0.596147872009941,4.908640531073513
i m itchy and miserable,0.0,1.0,1.6666666666666663
no i m not itchy for now maybe later laughing out loud,0.8337266680969748,0.1662733319030251,5.749174983738907
i love the nerdy stanford human biology videos makes me miss school,0.8118144309147629,0.1881855690852369,5.5280291645417705
has been a bit crazy with steep learning curve but lyx is really good for long docs for anything shorter it would be insane,0.4657863145258103,0.5342136854741897,4.968136066751791
i m listening to p y t by danny gokey less than less than less than aww heis so amazing i less than him so much,1.0,0.0,8.333333333333334
is going to sleep then on a bike ride,0.0,0.0,8.333333333333334
can not sleep my tooth is aching,0.0,1.0,1.6666666666666663
blah blah blah same old same old no plans today going back to sleep i guess,0.0,1.0,1.6666666666666663
glad i did not do bay to breakers today itis freaking degrees in san francisco what the fuck,0.141820580474934,0.8581794195250659,3.685324847842272
obama administration must stop bonuses to aig ponzi schemers,0.7831021437578816,0.2168978562421185,5.270292893597053
started to think that citi is in really deepis amp t are they gonna survive the turmoil or are they gonna be the next aig,0.0,1.0,1.6666666666666663
shaunwoo hate n on aig,0.0,1.0,1.6666666666666663
you will not regret going to see star trek it was awesome,1.0,0.0,8.333333333333334
annoying new trend on the internets people picking apart michael lewis and malcolm gladwell nobody wants to read that,0.0,1.0,1.6666666666666663
highly recommend by malcolm gladwell,1.0,0.0,8.333333333333334
blink by malcolm gladwell amazing book and the tipping point,1.0,0.0,8.333333333333334
malcolm gladwell might be my new man crush,0.0,1.0,1.6666666666666663
oh my god the commercials alone on espn are going to drive me nuts,0.1822289156626506,0.8177710843373494,4.000503668169214
playing with twitter api sounds fun may need to take a class or find a new friend who like to generate results with api code,1.0,0.0,8.333333333333334
hello twitter api,0.0,0.0,8.333333333333334
because the twitter api is slow and most clientis aren t good,1.0,0.0,8.333333333333334
yahoo answers can be a butt sometimes,0.0,0.0,8.333333333333334
is scrapbooking with nic d,0.0,0.0,8.333333333333334
five things wolfram alpha does better and vastly different than google,1.0,0.0,8.333333333333334
just changed my default pic to a nike basketball cause bball is awesome,1.0,0.0,8.333333333333334
was just told that nike layoffs started today,0.0,0.0,8.333333333333334
back when i worked for nike we had one fav word just do it,1.0,0.0,8.333333333333334
by the way i m totally inspired by this freaky nike commercial,0.7357543548863301,0.2642456451136699,4.999999999999999
class the d is supposed to come today,0.0,0.0,8.333333333333334
needs someone to explain lambda calculus to him,0.0,0.0,8.333333333333334
took the graduate field exam for computer science today nothing makes you feel like more of an idiot than lambda calculus,0.1973164956590371,0.8026835043409629,4.104152395965351
shout outs to all east palo alto for being in the buildin karizmakaze cal gta also thanks to profits of doom universal hempz cracka,0.8798485046362805,0.1201514953637194,6.276600925099127
yeahh i wouldn t really have lived in east palo alto if i could have avoided it i guess itis only for the summer,0.0,1.0,1.6666666666666663
great stanford course thanks for making it available to the public really helpful and informative for starting off,1.0,0.0,8.333333333333334
