oraciones,tiempo_preprocesado,puntaje_positivo,puntaje_negativo,tiempo_lexico,pos_bajo,pos_medio,pos_alto,neg_bajo,neg_medio,neg_alto,tiempo_fuzzi,sentimiento_final,Tiempo_Base_reglas,clase_sentimiento,tiempo_defuzzificacion
i loovvee my kindle not that the dx is cool but the is fantastic in its own right,0.003678560256958,1.0,0.0,0.0004031658172607,0.0,0.0,1.0,0.0,0.0,0.0,0.0044844150543212,8.333333333333334,0.0042884349822998,Positivo,1.430511474609375e-06
reading my kindle love it lee childs is good read,0.0004382133483886,1.0,0.0,0.0002202987670898,0.0,0.0,1.0,0.0,0.0,0.0,0.0002260208129882,8.333333333333334,0.0001196861267089,Positivo,9.5367431640625e-07
ok first assesment of the kindle it fucking rocks,0.0004000663757324,1.0,0.0,0.0001564025878906,0.0,0.0,1.0,0.0,0.0,0.0,0.0001959800720214,8.333333333333334,0.0001215934753417,Positivo,2.384185791015625e-07
you ll love your kindle i ve had mine for a few months and never looked back the new big one is huge no need for remorse,0.0006656646728515,0.8379157161724097,0.1620842838275903,0.0004045963287353,0.0,0.3241685676551806,0.6758314323448193,0.6758314323448193,0.3241685676551806,0.0,0.0001928806304931,5.7933138471790935,0.0055391788482666,Neutral,2.384185791015625e-07
fair enough but i have the kindle and i think itis perfect,0.0004425048828125,1.0,0.0,0.0001814365386962,0.0,0.0,1.0,0.0,0.0,0.0,0.0001938343048095,8.333333333333334,0.0001299381256103,Positivo,0.0
no it is too big i m quite happy with the kindle,0.0004124641418457,0.8189463847681345,0.1810536152318654,0.0001795291900634,0.0,0.3621072304637309,0.637892769536269,0.6378927695362693,0.3621072304637308,0.0,0.000176191329956,5.598319147839652,0.0049035549163818,Neutral,2.384185791015625e-07
fuck this economy i hate aig and their non loan given asses,0.0004482269287109,0.0,1.0,0.000192642211914,0.0,0.0,0.0,0.0,0.0,1.0,0.0001823902130126,1.6666666666666663,0.0039806365966796,Negativo,2.384185791015625e-07
jquery is my new best friend,0.0003309249877929,1.0,0.0,0.0001342296600341,0.0,0.0,1.0,0.0,0.0,0.0,0.000187873840332,8.333333333333334,0.0001282691955566,Positivo,0.0
loves twitter,0.0002853870391845,1.0,0.0,4.8160552978515625e-05,0.0,0.0,1.0,0.0,0.0,0.0,0.0001876354217529,8.333333333333334,0.0001125335693359,Positivo,2.384185791015625e-07
how can you not love obama he makes jokes about himself,0.0004186630249023,0.1968559694094321,0.8031440305905679,0.00020432472229,0.6062880611811359,0.3937119388188642,0.0,0.0,0.3937119388188641,0.6062880611811359,0.0001800060272216,4.101079615954222,0.004267930984497,Neutral,0.0
i firmly believe that obama pelosi have zero desire to be civil itis a charade and a slogan but they want to destroy conservatism,0.0006837844848632,0.1505452821242295,0.8494547178757705,0.0003571510314941,0.6989094357515411,0.301090564248459,0.0,0.0,0.3010905642484589,0.6989094357515411,0.0001900196075439,3.75888324363049,0.0038940906524658,Neutral,0.0
house correspondents dinner was last night whoopi barbara amp sherri went obama got a standing ovation,0.0005567073822021,0.0,0.0,0.0002262592315673,0.0,0.0,0.0,0.0,0.0,0.0,0.0001797676086425,8.333333333333334,0.004601240158081,Positivo,0.0
watchin espn jus seen this new nike commerical with a puppet lebron sh t was hilarious laughing my ass off,0.0005903244018554,0.8027586206896552,0.1972413793103448,0.0002932548522949,0.0,0.3944827586206896,0.6055172413793104,0.6055172413793104,0.3944827586206896,0.0,0.0001900196075439,5.440907680084364,0.0046494007110595,Neutral,2.384185791015625e-07
dear nike stop with the flywire that shit is a waste of science and ugly love,0.0005433559417724,0.1884760366182014,0.8115239633817986,0.0002915859222412,0.6230479267635972,0.3769520732364028,0.0,0.0,0.3769520732364029,0.6230479267635971,0.0001735687255859,4.044189728119154,0.00411057472229,Neutral,2.384185791015625e-07
lebron best athlete of our generation if not all time basketball related i don t want to get into inter sport debates about,0.0006585121154785,1.0,0.0,0.0003325939178466,0.0,0.0,1.0,0.0,0.0,0.0,0.0001838207244873,8.333333333333334,0.0001266002655029,Positivo,2.384185791015625e-07
i was talking to this guy last night and he was telling me that he is a die hard spurs fan he also told me that he hates lebron james,0.0007152557373046,0.0660358762073723,0.9339641237926276,0.0004017353057861,0.8679282475852554,0.1320717524147446,0.0,0.0,0.1320717524147447,0.8679282475852552,0.00103759765625,2.864267546989057,0.0039236545562744,Negativo,2.384185791015625e-07
i love lebron,0.000270128250122,1.0,0.0,5.197525024414063e-05,0.0,0.0,1.0,0.0,0.0,0.0,0.000185489654541,8.333333333333334,0.0001969337463378,Positivo,2.384185791015625e-07
